Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
18.5849,21.0104,17.8269,14.1607,19.5223,17.6365,23.5018,18.9481,18.0009,117.577,93.5279,117.682,93.5975,
18.0692,17.772,23.5976,14.228,19.6145,17.9438,19.059,18.7,21.0586,117.722,93.6369,117.887,93.8522,
17.9351,18.0238,18.7609,23.7211,19.1575,18.2055,14.3017,19.7159,21.091,117.913,93.8673,118.073,94.099,
18.1207,23.8287,14.353,18.3052,18.1427,18.8566,21.1156,19.8034,19.2958,118.144,94.217,118.248,94.3451,
18.3929,19.861,14.4172,18.3038,21.1372,19.3874,18.9379,18.2509,23.9799,118.389,94.4129,118.418,94.6023,
18.3103,14.4717,18.9951,18.4606,21.1549,19.4853,19.9558,24.0739,18.526,118.49,94.7049,118.563,94.8349,
18.3869,20.004,21.1659,24.1448,19.0632,14.5317,19.5791,18.6324,18.6143,118.575,94.9988,118.72,95.1043,
14.5725,18.743,19.1236,20.0829,19.6667,18.6919,21.1766,18.4991,24.2657,118.843,95.151,118.865,95.3731,
20.1348,14.6234,18.7613,19.7464,24.336,18.9199,21.1799,19.1953,18.581,118.878,95.4845,119.006,95.6537,
24.4036,19.2333,14.673,21.179,18.6382,19.8395,20.2102,19.0845,18.871,118.998,95.8167,119.14,95.9431,
19.1771,18.7015,24.4924,20.261,19.9206,18.9365,21.171,19.3,14.7314,119.138,95.9787,119.263,96.2315,
20.3022,21.1629,19.335,14.7612,18.7766,19.9983,19.3513,19.0166,24.5869,119.345,96.3375,119.373,96.5142,
21.1475,19.4522,14.7964,19.0696,18.8363,19.3808,24.6446,20.0726,20.3627,119.431,96.5493,119.465,96.7739,
20.111,20.3859,14.827,24.6909,19.1286,19.5859,19.4143,21.1223,18.8953,119.464,96.881,119.55,97.0345,
21.1073,14.854,18.9287,19.1794,19.4412,20.1813,24.7504,19.7108,20.4301,119.609,97.1341,119.643,97.3508,
14.8827,20.2286,18.9791,24.7954,21.0696,19.2432,19.8269,20.4599,19.4753,119.658,97.437,119.721,97.656,
20.4766,20.2816,14.9106,24.8414,19.0269,19.9329,19.296,21.0271,19.4972,119.727,97.7414,119.787,97.9472,
