Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
4.34684,8.48338,9.06767,5.02647,4.22992,2.94486,97.346,96.3197,97.3639,96.2344,
4.45926,2.89884,9.1786,4.29063,8.52685,5.14069,97.3636,96.1997,97.3779,96.1391,
8.54933,2.84638,4.56164,9.27348,4.35179,5.22403,97.3894,96.0991,97.3923,96.0417,
5.2723,4.39316,8.58321,9.35742,2.78972,4.67182,97.4145,96.0123,97.4076,95.9374,
4.73387,9.44346,8.61963,5.38202,4.47185,2.73441,97.4055,95.9104,97.4216,95.8424,
9.52456,5.45233,4.8352,4.52687,2.69498,8.6634,97.4079,95.8276,97.4378,95.7321,
5.54301,4.58892,9.63893,4.94658,2.64837,8.70043,97.4306,95.7058,97.4517,95.6377,
2.62094,4.65368,9.73036,8.73191,5.04491,5.65888,97.4648,95.6015,97.4659,95.5406,
2.58706,8.76143,4.71843,5.72709,5.1302,9.83274,97.4777,95.493,97.4789,95.4522,
9.8903,8.79801,5.20784,5.81103,4.79308,2.54539,97.4857,95.4247,97.4936,95.3528,
5.28504,5.88343,9.99103,4.85274,8.84403,2.51886,97.4853,95.3266,97.5069,95.2619,
4.90415,8.87386,5.97232,2.49817,5.40016,10.0976,97.5206,95.2043,97.521,95.1664,
5.46567,10.1615,2.47868,6.06435,8.92227,4.99424,97.5107,95.149,97.5108,95.0947,
10.2159,2.51091,5.04086,5.49415,6.11682,8.99212,97.4591,95.0962,97.4148,95.0974,
10.2382,6.14125,9.05733,5.44678,2.63233,5.11131,97.3784,95.111,97.3147,95.1003,
2.69873,10.2616,5.15508,9.14112,5.40091,6.18142,97.2833,95.0943,97.2199,95.1031,
10.2821,5.36928,5.21099,2.8125,9.22386,6.21275,97.1895,95.1058,97.1287,95.1057,
6.23343,10.3073,5.26885,9.29626,5.31997,2.92028,97.094,95.1169,97.0337,95.1085,
9.35922,5.28894,2.99553,6.27601,5.33795,10.3391,97.0183,95.1004,96.9386,95.1112,
9.43986,3.08486,10.3596,5.24472,6.31558,5.40481,96.9148,95.1184,96.8405,95.114,
10.3836,6.34736,9.5385,5.20605,3.20763,5.47091,96.8024,95.1297,96.7392,95.117,
10.4122,6.38768,5.52338,5.16977,3.30851,9.64118,96.6802,95.1261,96.6378,95.1199,
6.42455,3.38391,5.13859,5.59668,10.4502,9.73111,96.5736,95.1133,96.5215,95.1233,
6.47387,9.79707,3.50592,5.09827,5.67552,10.4869,96.4993,95.1109,96.4166,95.1263,
6.52034,5.06979,5.73878,10.5136,9.90334,3.63019,96.3812,95.1347,96.3239,95.129,
3.69015,5.79963,10.5416,6.5725,5.03636,9.98968,96.2695,95.1235,96.23,95.1317,
10.0389,5.86454,3.79567,10.5737,6.61867,5.00938,96.2076,95.1291,96.1377,95.1344,
10.1232,5.93439,10.6046,4.98765,3.90869,6.66948,96.1245,95.133,96.039,95.1372,
4.96951,10.6347,10.2174,3.99518,6.01758,6.71715,96.0182,95.1378,95.9394,95.1401,
10.6666,4.07943,6.08114,10.3097,6.76227,4.94013,95.9092,95.1424,95.8462,95.1428,
4.16592,10.7023,4.92529,10.3938,6.16508,6.81773,95.8151,95.1343,95.7356,95.146,
6.22039,10.7431,4.28988,10.4848,6.8675,4.90161,95.7081,95.1474,95.6429,95.1487,
4.89066,10.7816,6.91441,4.399,6.31753,10.5863,95.5841,95.1559,95.5422,95.1516,
6.37164,10.6488,6.96763,4.87343,4.50468,10.8302,95.5181,95.1389,95.4426,95.1545,
6.44524,10.8571,10.7392,7.02459,4.59987,4.86024,95.4146,95.1622,95.3481,95.1572,
10.8915,6.52228,4.67931,7.0781,4.85139,10.84,95.2902,95.1617,95.2531,95.16,
6.59109,10.9352,4.84405,4.79293,7.14226,10.9343,95.1828,95.1657,95.1332,95.1634,
10.9781,4.8373,7.19592,11.016,6.70531,4.9133,95.1019,95.1791,95.0414,95.1661,
11.0844,4.83295,6.77351,4.99949,11.0364,7.27461,95.0311,95.1486,94.9173,95.1697,
5.10352,11.0778,4.83056,7.33457,6.88383,11.2268,94.8546,95.1668,94.8165,95.1726,
6.9405,7.38599,4.83101,5.22373,11.1302,11.3172,94.7514,95.169,94.7128,95.1756,
7.44325,7.02579,4.83355,11.39,5.32776,11.1766,94.6812,95.1644,94.6213,95.1783,
4.83715,11.4623,11.2128,7.5185,7.12472,5.44108,94.6004,95.2014,94.5032,95.1817,
7.19202,5.51993,7.5855,4.84644,11.5855,11.2741,94.4639,95.1657,94.4067,95.1845,
11.3061,4.85439,11.6697,7.30025,5.65049,7.67184,94.3763,95.1926,94.2778,95.1882,
4.86683,5.74207,11.3695,7.73405,11.7877,7.40562,94.2318,95.194,94.1843,95.1909,
5.82976,11.8524,7.46573,4.88287,7.80525,11.4284,94.1686,95.1661,94.0794,95.1939,
11.4635,4.89726,7.55927,5.96122,11.9724,7.88064,94.0383,95.1958,93.9807,95.1968,
7.62567,4.91345,12.044,7.93416,11.5233,6.06885,93.9557,95.2132,93.8865,95.1995,
11.5562,6.13915,7.72026,8.00116,4.93668,12.157,93.8107,95.2055,93.7717,95.2028,
12.2207,11.6186,7.81349,6.26416,8.0827,4.96231,93.7557,95.2108,93.6779,95.2056,
4.97775,8.13817,6.35755,7.90613,11.6814,12.3429,93.6134,95.1993,93.578,95.2084,
5.00189,12.4059,8.21491,11.7318,8.00101,6.48541,93.5549,95.2337,93.4605,95.2118,
5.03516,8.0821,12.5246,11.7934,8.311,6.60248,93.4263,95.2339,93.3418,95.2153,
11.842,5.06964,8.18284,8.3813,12.6381,6.70876,93.3,95.2365,93.2464,95.218,
8.25823,12.7109,6.78865,5.10577,11.912,8.46464,93.2325,95.1968,93.1457,95.221,
6.87169,5.1332,8.5201,8.36031,11.965,12.826,93.0815,95.2036,93.0488,95.2238,
8.57916,12.0064,12.8941,8.43571,5.16422,6.96568,93.0197,95.2145,93.0422,95.2284,
8.55997,6.9396,5.14459,12.8406,8.37995,11.9596,93.0817,95.261,93.1538,95.2365,
8.302,8.46554,11.9061,6.81488,12.7275,5.08778,93.1817,95.2354,93.2499,95.2436,
8.21162,8.38789,11.8448,5.05255,12.634,6.70246,93.2945,95.2255,93.3492,95.2508,
12.5646,8.3092,6.62391,8.10204,5.01013,11.7696,93.3632,95.2778,93.4482,95.2581,
11.7316,6.53682,4.97865,12.4538,8.00911,8.21296,93.4782,95.2657,93.5443,95.2651,
12.3801,4.94493,7.93146,11.658,8.14101,6.40956,93.5582,95.2476,93.6439,95.2724,
12.284,8.07926,11.6012,4.9055,7.82893,6.31108,93.6595,95.253,93.7412,95.2795,
4.88092,12.1891,7.75668,11.5413,6.22504,7.98617,93.7558,95.289,93.8375,95.2865,
7.67724,12.0936,6.13735,7.92022,11.4767,4.83925,93.8616,95.2995,93.936,95.2937,
11.438,4.81976,6.04052,7.84617,11.9754,7.55327,93.9974,95.272,94.0532,95.3023,
11.9016,11.3656,4.78529,7.76193,7.46483,5.90921,94.0628,95.2829,94.146,95.309,
5.84895,4.76295,7.69657,7.38659,11.7853,11.2944,94.1902,95.33,94.2408,95.316,
5.75392,7.31224,11.7076,11.2467,4.73552,7.61023,94.2619,95.3412,94.3366,95.323,
11.6289,4.71903,5.6307,7.19322,7.52674,11.1674,94.3525,95.3627,94.4926,95.3344,
7.45194,7.09099,4.6883,5.4835,11.4578,11.0964,94.5354,95.3553,94.594,95.3418,
11.3897,7.00105,4.67167,5.38367,11.0463,7.35511,94.5994,95.3578,94.6871,95.3486,
4.65982,11.2944,5.29778,7.298,6.90122,10.9914,94.7084,95.3675,94.7822,95.3555,
10.9574,6.83437,11.1957,7.22875,5.18731,4.64394,94.8094,95.3439,94.8795,95.3626,
5.11671,7.16969,11.1033,6.73604,10.8895,4.63419,94.9096,95.3782,94.9794,95.3699,
11.0298,10.8486,6.65614,4.62745,7.08709,4.9812,94.987,95.349,95.0901,95.378,
10.9226,7.02714,4.89906,4.62115,10.782,6.54462,95.1109,95.3729,95.1852,95.385,
6.96343,4.61785,10.8167,6.47177,10.7305,4.77974,95.217,95.3758,95.2827,95.3921,
10.6972,4.6162,6.39517,6.88623,4.6907,10.702,95.3519,95.3802,95.3976,95.4005,
4.6168,6.81758,6.29594,4.58233,10.6049,10.6201,95.4429,95.4144,95.4972,95.4078,
10.5915,6.22429,10.5323,4.6201,4.48355,6.73963,95.5145,95.407,95.59,95.4145,
6.69961,6.1426,4.6246,10.4361,4.38836,10.5274,95.6241,95.4308,95.6875,95.4217,
4.63089,10.4933,6.05281,6.62346,4.28883,10.3279,95.7488,95.4155,95.7899,95.4291,
6.57415,4.64034,10.4437,5.96557,4.19305,10.239,95.844,95.4247,95.8841,95.436,
6.51254,5.89437,4.10836,10.3944,4.65443,10.1417,95.9535,95.442,95.9936,95.444,
10.3574,5.81103,6.44239,4.00058,4.66867,10.0517,96.0488,95.4379,96.0861,95.4508,
9.99628,5.73113,3.91199,6.38108,4.68381,10.2989,96.1005,95.4704,96.1818,95.4578,
3.8309,6.33192,10.265,4.69985,5.63685,9.87336,96.2401,95.4641,96.2791,95.4649,
10.2298,9.81101,6.27316,5.5661,4.72008,3.70334,96.3012,95.4515,96.3733,95.4718,
10.1904,5.50239,3.63154,4.73912,9.70713,6.209,96.407,95.4751,96.4673,95.4786,
4.75801,5.42205,10.142,6.16074,3.51941,9.6079,96.5249,95.4777,96.5681,95.486,
5.35354,9.54644,6.11277,4.78724,3.42678,10.0949,96.5889,95.5016,96.6624,95.4929,
5.27875,3.35333,9.45306,4.81392,6.05386,10.0562,96.6899,95.51,96.7596,95.5,
3.26804,9.36612,10.0251,6.00529,4.8454,5.17442,96.7934,95.499,96.8673,95.5079,
5.96497,3.15771,9.26988,9.98414,4.87672,5.09917,96.8979,95.5052,96.9588,95.5145,
9.19643,5.04895,9.95086,5.90756,3.04514,4.91105,96.9858,95.5136,97.0584,95.5218,
5.86829,4.97281,4.93863,9.08506,2.94711,9.90604,97.0928,95.5335,97.1556,95.5289,
4.90505,4.97191,9.87831,5.81238,8.98928,2.84398,97.1948,95.5253,97.2534,95.5361,
2.78058,9.84563,5.01268,8.90519,5.76336,4.80552,97.2949,95.5335,97.3612,95.5439,
8.82979,9.80996,2.66695,5.0572,4.73327,5.7109,97.3771,95.5498,97.4733,95.5521,
5.09317,4.67811,2.55873,5.67237,9.76559,8.69578,97.5268,95.5602,97.581,95.56,
4.60181,5.14654,2.45185,9.73231,5.62366,8.5934,97.6426,95.5664,97.6938,95.5682,
2.36012,5.1966,9.70053,8.51321,4.50903,5.57824,97.7254,95.5754,97.7895,95.5752,
9.67775,2.26928,5.24097,8.43451,5.54691,4.44427,97.8189,95.5701,97.8814,95.5819,
5.28099,2.17649,5.51603,9.64327,8.34068,4.38132,97.9178,95.5843,97.9783,95.589,
5.48665,4.3359,2.07651,9.61374,5.3504,8.2365,98.0481,95.5948,98.1015,95.598,
5.44588,8.1647,9.58392,5.40301,4.24686,1.94535,98.127,95.593,98.1976,95.605,
1.88989,4.20159,5.4114,5.45278,9.55573,8.05692,98.2475,95.6135,98.293,95.612,
8.00671,5.49445,4.14238,9.53445,1.78002,5.37843,98.3026,95.6157,98.3828,95.6186,
5.54106,1.71571,7.91467,9.51197,5.35429,4.07778,98.4051,95.6198,98.4752,95.6253,
9.49383,5.59997,1.62128,4.03011,5.32491,7.79775,98.5404,95.6258,98.6041,95.6347,
7.73405,5.67147,5.30138,1.50526,9.46025,3.95351,98.6209,95.6325,98.7059,95.6422,
1.42956,7.63421,5.27695,9.43882,5.74717,3.8991,98.7405,95.6423,98.8055,95.6495,
5.25866,9.42128,1.33183,7.53573,3.85173,5.81193,98.851,95.6502,98.9061,95.6568,
5.84925,7.46618,3.81231,1.24879,9.39954,5.23453,98.9233,95.6608,98.9991,95.6636,
5.90906,3.77004,1.17714,9.38305,7.36605,5.21804,99.0331,95.6669,99.0981,95.6708,
9.37061,5.20754,1.10384,7.29125,3.71878,5.99045,99.1377,95.6704,99.1918,95.6777,
1.04298,7.22035,5.1936,9.35143,3.6774,6.05386,99.2325,95.6817,99.2899,95.6849,
0.976124,9.33809,6.10722,7.12232,3.63543,5.17906,99.3283,95.6881,99.4075,95.6934,
9.3234,6.17572,0.89578,3.59391,7.01559,5.16857,99.4466,95.6929,99.5214,95.7018,
3.56378,6.94574,5.16228,9.30631,0.829376,6.27361,99.5626,95.7045,99.6246,95.7093,
3.52931,9.29551,0.790253,5.15613,6.83182,6.3529,99.6841,95.7117,99.7514,95.7186,
9.28337,6.40836,0.754428,3.48734,6.74083,5.15268,99.7821,95.7182,99.8463,95.7255,
3.4659,0.738689,6.48286,9.27243,5.15208,6.65539,99.8921,95.7288,99.9423,95.7325,
6.60518,5.15268,0.735241,3.43892,9.26434,6.56426,99.9817,95.7357,100.039,95.7396,
6.53023,9.25909,6.61612,5.15583,0.746933,3.41643,100.058,95.7385,100.132,95.7464,
6.45048,3.40309,6.68807,5.16048,0.770766,9.2513,100.156,95.7527,100.245,95.7546,
0.799996,6.76677,6.34841,5.16827,9.2465,3.38166,100.275,95.7567,100.345,95.7619,
3.37371,6.83722,6.27301,9.2432,5.17757,0.861753,100.37,95.7661,100.442,95.769,
6.90587,5.18581,6.19461,3.36217,0.913318,9.24035,100.466,95.7703,100.541,95.7763,
3.35723,5.1975,0.962334,6.99161,9.239,6.10632,100.583,95.7787,100.634,95.783,
3.35288,5.21129,6.04546,1.03398,7.07165,9.23855,100.673,95.7874,100.734,95.7904,
5.22598,7.13026,9.239,1.10444,3.35183,5.95583,100.775,95.7934,100.831,95.7974,
9.24005,5.90651,7.20686,3.35393,1.18148,5.25027,100.854,95.7987,100.937,95.8051,
3.35813,5.2657,9.24335,1.26707,5.80533,7.31014,100.99,95.8087,101.037,95.8125,
7.3611,9.2468,5.74192,1.34922,5.29239,3.36967,101.06,95.8165,101.137,95.8198,
3.37626,5.30977,9.2516,5.66668,1.4375,7.46303,101.184,95.8241,101.233,95.8268,
3.38885,1.49971,9.25699,5.33706,7.53214,5.58858,101.275,95.8279,101.327,95.8337,
1.57601,3.40534,5.36044,5.53162,7.60573,9.26509,101.362,95.8337,101.422,95.8406,
9.27033,7.67019,5.38952,5.45982,3.42918,1.69742,101.451,95.8495,101.518,95.8477,
3.44252,7.74154,5.4159,1.76668,5.39207,9.28157,101.543,95.8443,101.61,95.8544,
7.81469,9.28832,5.44678,5.33076,1.86291,3.47549,101.631,95.8624,101.709,95.8616,
