Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
5.86424,7.29155,1.21401,100.939,104.23,100.938,104.228,
1.21461,7.2884,5.86259,100.938,104.227,100.936,104.225,
7.28541,1.21566,5.86124,100.936,104.224,100.935,104.222,
1.21656,7.28166,5.85974,100.934,104.22,100.933,104.218,
7.27881,5.85869,1.21776,100.933,104.217,100.932,104.215,
5.85764,1.21866,7.27476,100.931,104.213,100.93,104.211,
5.85615,1.21956,7.27132,100.929,104.21,100.928,104.208,
1.22046,7.26772,5.85405,100.927,104.206,100.926,104.203,
1.22225,7.26307,5.8521,100.925,104.201,100.924,104.198,
1.22345,7.25902,5.8503,100.923,104.196,100.922,104.194,
7.25543,5.8491,1.2251,100.921,104.193,100.92,104.19,
5.84775,1.22615,7.25123,100.919,104.188,100.919,104.187,
7.24838,1.2272,5.84595,100.918,104.185,100.917,104.183,
5.84505,7.24478,1.22855,100.916,104.182,100.915,104.179,
7.24209,5.8434,1.2296,100.915,104.178,100.914,104.176,
5.84221,1.2305,7.23774,100.913,104.174,100.912,104.173,
5.84086,7.23459,1.232,100.911,104.171,100.91,104.169,
7.23174,1.2329,5.83906,100.91,104.168,100.909,104.166,
1.2341,5.83771,7.22755,100.908,104.164,100.907,104.162,
5.83666,7.2247,1.23559,100.906,104.16,100.906,104.158,
5.83516,1.23649,7.2208,100.905,104.157,100.904,104.155,
7.21825,1.23799,5.83351,100.904,104.153,100.902,104.151,
5.83246,1.23919,7.21406,100.901,104.149,100.901,104.148,
7.21136,1.24039,5.83066,100.9,104.146,100.899,104.144,
1.24159,7.20776,5.82916,100.899,104.142,100.897,104.14,
7.20506,1.24279,5.82797,100.897,104.139,100.896,104.137,
1.24414,7.20131,5.82662,100.895,104.136,100.894,104.134,
5.82557,1.24549,7.19757,100.893,104.132,100.893,104.13,
7.19487,5.82392,1.24699,100.892,104.129,100.891,104.127,
7.19217,1.24789,5.82257,100.891,104.126,100.89,104.123,
7.18857,1.24939,5.82107,100.89,104.122,100.888,104.12,
7.18528,1.25073,5.81987,100.888,104.119,100.886,104.116,
7.18153,5.81852,1.25238,100.886,104.115,100.885,104.112,
