Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
5.00069,6.0687,5.35309,100.912,95.0011,100.914,95,
5.00069,6.0693,5.35459,100.916,95.0014,100.918,95,
6.0699,5.35564,5.00039,100.92,94.9999,100.922,95,
5.00039,5.35714,6.0705,100.924,95.0002,100.926,95,
5.00039,6.0711,5.35849,100.927,95.0002,100.93,95,
6.07155,5.00039,5.35999,100.931,95.0015,100.933,95,
6.07215,5.00039,5.36134,100.935,95.0015,100.937,95,
5.36239,5.00009,6.0729,100.939,94.999,100.941,95,
6.07335,5.00009,5.36434,100.944,95.0015,100.945,95,
5.00009,6.07409,5.36569,100.947,95.0006,100.949,95,
6.07454,5.00009,5.36688,100.951,95.001,100.953,95,
5.00009,6.07529,5.36838,100.955,95.0005,100.957,95,
5.36928,5.00009,6.07589,100.957,94.9993,100.961,95,
6.07634,5.37093,5.00009,100.962,95.001,100.964,95,
6.07694,5.00009,5.37243,100.966,95.0014,100.968,95,
6.07754,5.00009,5.37393,100.97,95.0017,100.972,95,
6.07814,4.99979,5.37528,100.974,95.001,100.976,95,
6.07889,5.37663,4.99979,100.978,95,100.98,95,
4.99979,5.37813,6.07964,100.982,94.9995,100.983,95,
4.99979,5.37933,6.08024,100.985,94.9991,100.987,95,
6.08069,4.99979,5.38097,100.989,95.0008,100.991,95,
4.99979,6.08129,5.38232,100.993,95.0008,100.995,95,
5.38337,4.99979,6.08204,100.996,94.999,100.998,95,
4.99979,6.08249,5.38502,101,95.0008,101.002,95,
6.08309,5.38637,4.99979,101.004,95.0007,101.006,95,
6.08369,4.99979,5.38787,101.008,95.0011,101.01,95,
6.08444,4.99979,5.38967,101.013,95.0014,101.015,95,
5.39087,6.08519,4.99979,101.016,95.0001,101.019,95,
6.08594,5.39267,4.99979,101.021,95.0004,101.023,95,
6.08654,5.39402,4.99979,101.024,95.0004,101.027,95,
6.08729,5.39551,4.99994,101.028,95.0002,101.031,95,
6.08789,5.39701,5.00009,101.032,95.001,101.034,95,
5.00009,6.08863,5.39896,101.037,95.0017,101.039,95,
5.40016,5.00009,6.08953,101.04,94.9994,101.043,95,
5.00009,6.08998,5.40196,101.045,95.0016,101.047,95,
6.09073,5.00009,5.40346,101.049,95.001,101.051,95,
5.40466,6.09148,5.00009,101.052,94.9997,101.055,95,
5.40631,5.00009,6.09238,101.057,94.9987,101.06,95,
5.00009,5.40811,6.09313,101.062,94.999,101.064,95,
5.40946,5.00039,6.09373,101.065,94.9997,101.068,95,
5.41095,6.09448,5.00039,101.069,94.9992,101.071,95,
6.09493,5.00039,5.41275,101.074,95.0014,101.076,95,
6.09568,5.00039,5.4144,101.078,95.0012,101.08,95,
5.41575,5.00039,6.09658,101.082,94.9994,101.084,95,
6.09718,5.00069,5.41755,101.086,95.0014,101.088,95,
6.09793,5.00069,5.41905,101.09,95.0009,101.092,95,
6.09853,5.00069,5.4204,101.093,95.0009,101.095,95,
6.09913,5.00069,5.4219,101.098,95.0013,101.099,95,
5.42295,5.00084,6.10003,101.1,94.999,101.103,95,
6.10048,5.00099,5.42474,101.104,95.0015,101.107,95,
5.00099,6.10138,5.42624,101.109,95.0001,101.11,95,
6.10198,5.42759,5.00114,101.112,95.0005,101.114,95,
5.42894,6.10273,5.00129,101.115,94.9999,101.118,95,
6.10332,5.43074,5.00129,101.12,95.0012,101.122,95,
5.00129,5.43209,6.10422,101.124,94.9993,101.126,95,
6.10482,5.00159,5.43389,101.128,95.0013,101.13,95,
6.10542,5.00159,5.43539,101.132,95.0017,101.134,95,
5.00159,5.43659,6.10632,101.135,94.9995,101.138,95,
5.43794,5.00189,6.10707,101.138,94.9993,101.141,95,
6.10767,5.00189,5.43988,101.143,95.001,101.145,95,
6.10842,5.00189,5.44153,101.148,95.0009,101.149,95,
5.44273,6.10917,5.00219,101.15,95.0003,101.153,95,
5.00219,6.11007,5.44453,101.155,94.9997,101.157,95,
6.11052,5.00234,5.44603,101.159,95.0014,101.161,95,
6.11127,5.00249,5.44753,101.163,95.0013,101.165,95,
6.11202,5.44903,5.00264,101.166,95.0012,101.169,95,
6.11277,5.00279,5.45068,101.171,95.0015,101.173,95,
6.11352,5.45218,5.00294,101.174,95.0013,101.177,95,
5.45352,6.11442,5.00309,101.178,94.9999,101.18,95,
5.45502,6.11517,5.00309,101.182,94.9994,101.185,95,
5.00339,5.45682,6.11592,101.186,95.0005,101.188,95,
6.11652,5.45832,5.00339,101.19,95.0009,101.192,95,
5.45967,5.00369,6.11756,101.193,94.9989,101.197,95,
5.00369,5.46192,6.11846,101.199,94.9996,101.201,95,
6.11906,5.46342,5.00399,101.202,95.0007,101.205,95,
6.11981,5.46507,5.00414,101.206,95.001,101.209,95,
6.12056,5.46657,5.00429,101.21,95.0009,101.212,95,
5.46791,5.00444,6.12161,101.213,94.9985,101.217,95,
5.46971,5.00459,6.12236,101.218,94.9993,101.221,95,
5.47121,5.00489,6.12311,101.221,94.9995,101.225,95,
5.00489,5.47361,6.12416,101.228,94.9997,101.231,95,
6.12491,5.47541,5.00518,101.232,95.0007,101.235,95,
5.00548,6.12566,5.47706,101.236,95.0014,101.238,95,
5.00548,5.47856,6.12671,101.24,94.9991,101.242,95,
6.12731,5.00578,5.48066,101.245,95.0019,101.247,95,
6.12836,5.00608,5.48245,101.249,95.0012,101.251,95,
5.4835,6.12926,5.00623,101.252,94.9989,101.255,95,
